충전소,충전기ID,충전기타입,주소,이용가능시간
하당현대2차,1,AC완속,전라남도 목포시 삼향천로91번길 21 ,24시간 이용가능
하당현대2차,2,AC완속,전라남도 목포시 삼향천로91번길 21 ,24시간 이용가능
한광프라임빌,1,AC완속,전라남도 목포시 영산로692번길 8 ,24시간 이용가능
한광프라임빌,2,AC완속,전라남도 목포시 영산로692번길 8 ,24시간 이용가능
한광프라임빌,3,AC완속,전라남도 목포시 영산로692번길 8 ,24시간 이용가능
한국산업인력공단 전남서부지사,1,AC완속,전라남도 목포시 영산로 820 ,24시간 이용가능
한국산업인력공단 전남서부지사,2,AC완속,전라남도 목포시 영산로 820 ,24시간 이용가능
한국섬진흥원,1,AC완속,전라남도 목포시 삼학로92번길 6 ,24시간 이용가능
한국섬진흥원,2,AC완속,전라남도 목포시 삼학로92번길 6 ,24시간 이용가능
효사랑장례식장,1,AC완속,전라남도 목포시 백년대로231번길 13 ,24시간 이용가능
효사랑장례식장,2,AC완속,전라남도 목포시 백년대로231번길 13 ,24시간 이용가능
상동광신프로그레스,1,AC완속,전라남도 목포시 영산로565번길 23 상동 광신프로그레스 102동 앞 지상주차장,24시간 이용가능
상동광신프로그레스,2,AC완속,전라남도 목포시 영산로565번길 23 상동 광신프로그레스 102동 앞 지상주차장,24시간 이용가능
상동광신프로그레스,3,AC완속,전라남도 목포시 영산로565번길 23 상동 광신프로그레스 102동 앞 지상주차장,24시간 이용가능
상동광신프로그레스,4,AC완속,전라남도 목포시 영산로565번길 23 상동 광신프로그레스 102동 앞 지상주차장,24시간 이용가능
