fetched_at,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,busiId
2026-09-15T08:12:19.606842+00:00,ME19A164,01,3,20260915170733,20260915145427,20260915153731,20260915170112,ME
2026-09-15T08:12:19.606842+00:00,ME19A170,01,2,20260915171050,20260915105752,20260915112021,,ME
2026-09-15T08:12:19.606842+00:00,ME19A243,21,2,20260915170343,20260915164237,20260915170344,,ME
2026-09-15T08:12:19.606842+00:00,ME19A243,22,3,20260915171034,20260915113428,20260915121520,20260915165015,ME
2026-09-15T08:12:19.606842+00:00,ME19A245,21,9,20260915170310,20260914205410,20260914212814,,ME
2026-09-15T08:12:19.606842+00:00,ME19A245,22,9,20260915170310,20260914175557,20260914183603,,ME
2026-09-15T08:12:19.606842+00:00,ME19A265,21,9,20260915170310,20260915130141,20260915134149,,ME
2026-09-15T08:12:19.606842+00:00,ME19A274,21,2,20260915170238,20260915102017,20260915105339,,ME
2026-09-15T08:12:19.606842+00:00,ME19A274,22,2,20260915170240,20260914193810,20260914195906,,ME
2026-09-15T08:12:19.606842+00:00,ME19A601,22,3,20260915170911,20260915160205,20260915161904,20260915163431,ME
2026-09-15T08:12:19.606842+00:00,ME19A601,23,9,20260915170310,20260915115221,20260915123228,,ME
2026-09-15T08:12:19.606842+00:00,ME19A601,26,3,20260915171011,20260915140149,20260915144216,20260915164945,ME
2026-09-15T08:12:19.606842+00:00,ME19D118,01,3,20260915171044,20260914190036,20260914192227,20260915170547,ME
2026-09-15T08:12:19.606842+00:00,ME19X403,41,2,20260915171032,20260915163030,20260915171030,,ME
2026-09-15T08:12:19.606842+00:00,ME19X403,42,2,20260915170819,20260915162816,20260915170816,,ME
2026-09-15T08:12:19.606842+00:00,ME19X403,44,2,20260915170914,20260915122512,20260915130512,,ME
2026-09-15T08:12:19.606842+00:00,ME19X403,45,5,20260915170735,20260915131612,20260915134210,,ME
2026-09-15T08:12:19.606842+00:00,ME19X417,41,2,20260915170740,20260914184156,20260914191215,,ME
2026-09-15T08:12:19.606842+00:00,ME19X417,42,3,20260915170703,20260915161421,20260915164307,20260915170249,ME
2026-09-15T08:12:19.606842+00:00,ME19X417,43,2,20260915170710,20260915150439,20260915152916,,ME
2026-09-15T08:12:19.606842+00:00,ME19X417,44,2,20260915170709,20260915150805,20260915153621,,ME
2026-09-15T08:12:19.606842+00:00,ME19X417,45,2,20260915170714,20260915110038,20260915111713,,ME
2026-09-15T08:12:19.606842+00:00,ME19Y284,21,2,20260915170722,20260915160310,20260915160940,,ME
