statId,chgerId,statNm,addr,addrDetail,lat,lng,useTime,busiNm,chgerType,stat
PI001413,04,종암선경아파트,서울특별시 성북구 종암로5길 26,,37.5944118,127.033778,24시간 이용가능,GS차지비,02,9
PI001413,05,종암선경아파트,서울특별시 성북구 종암로5길 26,,37.5944118,127.033778,24시간 이용가능,GS차지비,02,9
PI001414,01,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,02,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,03,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,04,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,05,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,06,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,07,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,08,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,09,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,10,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,11,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,12,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,13,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,14,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,15,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001414,16,부영그린타운3차,서울특별시 양천구 목동동로 411,,37.5367107,126.882196,24시간 이용가능,GS차지비,02,9
PI001415,01,대성유니드아파트,서울특별시 중랑구 봉화산로56길 140,,37.602703,127.096429,24시간 이용가능,GS차지비,02,9
PI001415,02,대성유니드아파트,서울특별시 중랑구 봉화산로56길 140,,37.602703,127.096429,24시간 이용가능,GS차지비,02,9
PI001415,03,대성유니드아파트,서울특별시 중랑구 봉화산로56길 140,,37.602703,127.096429,24시간 이용가능,GS차지비,02,9
PI001416,01,태창네스트빌,서울특별시 중랑구 중랑역로49길 10,,37.6162769,127.077044,24시간 이용가능,GS차지비,02,9
PI001416,02,태창네스트빌,서울특별시 중랑구 중랑역로49길 10,,37.6162769,127.077044,24시간 이용가능,GS차지비,02,9
PI001416,03,태창네스트빌,서울특별시 중랑구 중랑역로49길 10,,37.6162769,127.077044,24시간 이용가능,GS차지비,02,9
PI001439,01,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,02,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,03,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,04,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,05,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,06,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,07,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,08,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,09,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,10,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,11,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,12,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,13,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,14,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,15,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,16,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,17,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,18,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,19,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001439,20,경남아너스빌아파트,서울특별시 구로구 오류로 65,,37.4906645,126.839867,24시간 이용가능,GS차지비,02,9
PI001440,01,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,02,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,03,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,04,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,05,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,06,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,07,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,08,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,09,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,10,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,11,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,12,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,13,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,14,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,15,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,16,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,17,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,18,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,19,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,20,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,21,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,22,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,23,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001440,24,서울숲행당푸르지오아파트,서울특별시 성동구 고산자로 177,,37.5547778,127.031713,24시간 이용가능,GS차지비,02,9
PI001441,01,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,02,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,03,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,04,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,05,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,06,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,07,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,08,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,09,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,10,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,11,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,12,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,13,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,14,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,15,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,16,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,17,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,18,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,19,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,20,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,21,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,22,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,23,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,24,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,25,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,26,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,27,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,28,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,29,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001441,30,청계한신휴플러스아파트,서울특별시 동대문구 서울시립대로 14,,37.5723338,127.045326,24시간 이용가능,GS차지비,02,9
PI001442,01,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,02,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,03,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,04,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,05,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,06,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,07,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,08,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,09,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,10,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,11,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,12,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,13,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,14,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001442,15,보라매e편한세상아파트,서울특별시 동작구 보라매로 70,,37.4954106,126.928546,24시간 이용가능,GS차지비,02,9
PI001443,01,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,02,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,03,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,04,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,05,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,06,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,07,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,08,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,09,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,10,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,11,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,12,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,13,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,14,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,15,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,16,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,17,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,18,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,19,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,20,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,21,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,22,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,23,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,24,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,25,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,26,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,27,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,28,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,29,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,30,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,31,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,32,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,33,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,34,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,35,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,36,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,37,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,38,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,39,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,40,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,41,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,42,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,43,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,44,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,45,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
PI001443,46,위례스타힐스아파트,서울특별시 송파구 위례광장로 215,,37.4816597,127.144857,24시간 이용가능,GS차지비,02,9
